x,y,w_right,w_left
7.1100,4.8700,0.7968,0.7968
7.1000,4.8700,0.7981,0.7981
7.0900,4.8700,0.7994,0.7994
7.0800,4.8700,0.8009,0.8009
7.0700,4.8600,0.7927,0.7927
7.0600,4.8600,0.7944,0.7944
7.0500,4.8600,0.7963,0.7963
7.0400,4.8600,0.7982,0.7982
7.0300,4.8600,0.8003,0.8003
7.0200,4.8600,0.8024,0.8024
7.0100,4.8600,0.8047,0.8047
7.0000,4.8600,0.8071,0.8071
6.9900,4.8600,0.8093,0.8093
6.9800,4.8500,0.8009,0.8009
6.9700,4.8500,0.8026,0.8026
6.9600,4.8500,0.8043,0.8043
6.9500,4.8500,0.8061,0.8061
6.9400,4.8500,0.8080,0.8080
6.9300,4.8500,0.8100,0.8100
6.9200,4.8500,0.8100,0.8100
6.9100,4.8400,0.8000,0.8000
6.9000,4.8400,0.8000,0.8000
6.8900,4.8400,0.8000,0.8000
6.8800,4.8400,0.8000,0.8000
6.8700,4.8400,0.8001,0.8001
6.8600,4.8300,0.7902,0.7902
6.8500,4.8300,0.7905,0.7905
6.8400,4.8300,0.7909,0.7909
6.8300,4.8300,0.7914,0.7914
6.8200,4.8300,0.7920,0.7920
6.8100,4.8200,0.7828,0.7828
6.8000,4.8200,0.7836,0.7836
6.7900,4.8200,0.7846,0.7846
6.7800,4.8200,0.7857,0.7857
6.7700,4.8200,0.7868,0.7868
6.7600,4.8200,0.7881,0.7881
6.7500,4.8200,0.7896,0.7896
6.7400,4.8200,0.7911,0.7911
6.7300,4.8100,0.7828,0.7828
6.7200,4.8100,0.7846,0.7846
6.7100,4.8100,0.7865,0.7865
6.7000,4.8100,0.7884,0.7884
6.6900,4.8100,0.7905,0.7905
6.6800,4.8100,0.7927,0.7927
6.6700,4.8100,0.7950,0.7950
6.6600,4.8100,0.7974,0.7974
6.6500,4.8000,0.7902,0.7902
6.6400,4.8000,0.7929,0.7929
6.6300,4.8000,0.7956,0.7956
6.6200,4.8000,0.7984,0.7984
6.6100,4.8000,0.8014,0.8014
6.6000,4.7900,0.7949,0.7949
6.5900,4.7900,0.7981,0.7981
6.5800,4.7900,0.8009,0.8009
6.5700,4.7900,0.8014,0.8014
6.5600,4.7900,0.8020,0.8020
6.5500,4.7900,0.8027,0.8027
6.5400,4.7900,0.8035,0.8035
6.5300,4.7800,0.7945,0.7945
6.5200,4.7800,0.7956,0.7956
6.5100,4.7800,0.7968,0.7968
6.5000,4.7800,0.7981,0.7981
6.4900,4.7800,0.7994,0.7994
6.4800,4.7800,0.8009,0.8009
6.4700,4.7800,0.8026,0.8026
6.4600,4.7800,0.8043,0.8043
6.4500,4.7700,0.7963,0.7963
6.4400,4.7700,0.7982,0.7982
6.4300,4.7700,0.8003,0.8003
6.4200,4.7700,0.8024,0.8024
6.4100,4.7700,0.8047,0.8047
6.4000,4.7700,0.8071,0.8071
6.3900,4.7700,0.8096,0.8096
6.3800,4.7600,0.8025,0.8025
6.3700,4.7600,0.8052,0.8052
6.3600,4.7600,0.8080,0.8080
6.3500,4.7600,0.8105,0.8105
6.3400,4.7600,0.8109,0.8109
6.3300,4.7500,0.8014,0.8014
6.3200,4.7500,0.8020,0.8020
6.3100,4.7500,0.8027,0.8027
6.3000,4.7500,0.8035,0.8035
6.2900,4.7500,0.8045,0.8045
6.2800,4.7500,0.8055,0.8055
6.2700,4.7400,0.7968,0.7968
6.2600,4.7400,0.7981,0.7981
6.2500,4.7400,0.7994,0.7994
6.2400,4.7400,0.8009,0.8009
6.2300,4.7400,0.8026,0.8026
6.2200,4.7400,0.8043,0.8043
6.2100,4.7300,0.7963,0.7963
6.2000,4.7300,0.7982,0.7982
6.1900,4.7300,0.8003,0.8003
6.1800,4.7300,0.8024,0.8024
6.1700,4.7300,0.8047,0.8047
6.1600,4.7300,0.8071,0.8071
6.1500,4.7300,0.8096,0.8096
6.1400,4.7200,0.8025,0.8025
6.1300,4.7200,0.8052,0.8052
6.1200,4.7200,0.8080,0.8080
6.1100,4.7200,0.8109,0.8109
6.1000,4.7200,0.8122,0.8122
6.0900,4.7200,0.8101,0.8101
6.0800,4.7100,0.8108,0.8108
6.0700,4.7100,0.8114,0.8114
6.0600,4.7100,0.8120,0.8120
6.0500,4.7100,0.8124,0.8124
6.0400,4.7100,0.8108,0.8108
6.0300,4.7100,0.8093,0.8093
6.0200,4.7100,0.8080,0.8080
6.0100,4.7100,0.8067,0.8067
6.0000,4.7000,0.8080,0.8080
5.9900,4.7000,0.8093,0.8093
5.9800,4.7000,0.8108,0.8108
5.9700,4.7000,0.8124,0.8124
5.9600,4.7000,0.8120,0.8120
5.9500,4.7000,0.8114,0.8114
5.9400,4.7000,0.8109,0.8109
5.9300,4.7000,0.8080,0.8080
5.9200,4.7000,0.8052,0.8052
5.9100,4.6900,0.8121,0.8121
5.9000,4.6900,0.8096,0.8096
5.8900,4.6900,0.8071,0.8071
5.8800,4.6900,0.8047,0.8047
5.8700,4.6900,0.8024,0.8024
5.8600,4.6900,0.8003,0.8003
5.8500,4.6800,0.8080,0.8080
5.8400,4.6800,0.8061,0.8061
5.8300,4.6800,0.8043,0.8043
5.8200,4.6800,0.8026,0.8026
5.8100,4.6800,0.8009,0.8009
5.8000,4.6800,0.7994,0.7994
5.7900,4.6800,0.7981,0.7981
5.7800,4.6700,0.8067,0.8067
5.7700,4.6700,0.8055,0.8055
5.7600,4.6700,0.8045,0.8045
5.7500,4.6700,0.8014,0.8014
5.7400,4.6700,0.7981,0.7981
5.7300,4.6700,0.7949,0.7949
